01382086-a	diplomacy book_keeping administration factotum agriculture electrotechnology person telephony mechanics gastronomy fishing betting social card music biology astrology baseball veterinary post drawing telegraphy time_period archery furniture food dance chemistry bowling sexuality anthropology philately military grammar oceanography radio exchange railway color architecture numismatics rowing physics metrology skiing nautical insurance engineering publishing psychological_features mythology athletics hockey animals geometry law topography tourism ethnology philology geography town_planning religion industry art medicine graphic_arts transport chess swimming cinema paranormal hydraulics history jewellery telecommunication radiology statistics sculpture cycling buildings plastic_arts rugby fencing sociology philosophy racing school money psychoanalysis finance university play genetics entomology football boxing diving theatre mathematics biochemistry animal_husbandry pure_science economy tax archaeology volleyball electronics sport mountaineering table_tennis golf health earth cricket occultism sub literature astronautics pedagogy astronomy psychiatry pharmacy meteorology heraldry politics basketball anatomy banking environment skating geology home humanities tennis wrestling plants social_science number linguistics badminton commerce photography theology enterprise psychology dentistry gas tv computer_science aviation electricity body_care fashion folklore vehicles surgery atomic_physic optics paleontology quality soccer free_time painting physiology acoustics applied_science roman_catholic hunting artisanship
09968259-n	cinema theatre engineering fashion
00431774-a	buildings plastic_arts electrotechnology anatomy engineering geology entomology post drawing photography gas tv industry aviation chemistry vehicles graphic_arts transport optics quality painting swimming cinema hydraulics jewellery radiology radio sculpture color sub
00469030-v	cinema computer_science
04248607-n	cinema photography
04262969-n	tv cinema music telecommunication photography
01003588-v	cinema photography
10605985-n	buildings plastic_arts architecture electrotechnology person telephony fishing nautical engineering publishing social commerce drawing dentistry psychology tv industry aviation electricity graphic_arts optics free_time painting cinema jewellery sculpture applied_science hunting sub artisanship
00469187-v	cinema computer_science
11256125-n	cinema theatre
04550546-n	cinema theatre fashion tv
